,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
gene_500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0
gene_501,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0
gene_502,1,2,1,2,3,0,1,1,0,0,1,0,2,0,5,1,1,0,2,5,1,0,1,0,0,2,0,0,0,1
gene_503,0,1,0,0,2,0,0,0,1,1,0,3,1,0,2,0,7,2,3,1,1,0,1,1,0,1,2,0,2,1
gene_504,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gene_505,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
gene_506,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0
gene_507,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,2,0,1,0,1,0,0,0,0
gene_508,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1
gene_509,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,2,1,1,1,0,0,0,1
gene_510,0,0,2,5,3,1,3,0,1,0,0,1,3,1,0,0,0,1,2,1,1,1,1,1,2,3,0,0,1,1
gene_511,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,1,4,0,0,1,0,0,1,0,0,1,2
gene_512,0,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0
gene_513,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_514,1,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,5,0,0,1,0,1,0,0,0,1,2,0,1,1
gene_515,1,1,0,0,2,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,6
gene_516,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
gene_517,0,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
gene_518,0,0,1,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
